编号,组织名称,中促会,民促会,联合国,成立时间,出海时间,领导人,重要员工,资本类型,注册地,注册形式,捐赠金额（出海前）标注年份,,捐赠金额（出海后）,,官网的组织理念,组织结构（参考年报）,是否有独立的海外办公室——组织结构,官网关于海外项目的组织理念——目标,海外项目的名称,海外涉及的地区,海外服务内容,服务形式,主要成员是否有官方背景,主要信息来源,是否有网上披露,是否持续性披露,走出去程度
25,中国文物保护基金会,0,1,0,1990 年,1990年,理事长：励小捷；秘书长：詹长法,——,——,北京,公募基金会,——,——,——,——,中国文物保护基金会将联络海内外致力于文化遗产保护传承的组织，诚邀所有矢志于文物事业的各界人士，为弘扬中华优秀传统文化、推动文物保护事业谱写新篇章、共襄盛举。,下设理事会、秘书处、办公室、项目部、筹资部、宣传部,否,基金会致力于通过国际合作，推动文化遗产保护的全球交流与合作，提升中国文化遗产保护的国际影响力,丝绸之路文化遗产保护国际合作项目、中法文化遗产保护交流项目、中日韩三国文化遗产保护合作项目、中国文化遗产保护国际论坛、缅甸蒲甘他冰瑜佛塔修复 、尼泊尔九层神庙修复、亚洲文化遗产教育合作网络 等,乌兹别克斯坦、哈萨克斯坦、阿联酋、柬埔寨等。中国与乌兹别克斯坦、哈萨克斯坦等 24 个 “一带一路” 沿线国家,与国际文物保护机构合作，开展技术培训和经验分享，参与国际文化遗产保护项目，提供资金和技术支持，举办国际文化遗产保护论坛，促进学术交流,直接服务和间接服务,是,官网、中国政府网、新闻网,是,是,海外项目
26,北京博能志愿公益基金会,0,1,0, 2016年,——,翟雁,零慧、吕敏杰、韩俊魁、彭艳,——,——,——,——,——,——,——,引领专业志愿创投，推动社会可持续发展；专业志愿共创价值，智慧公益促进改变；人人乐于专业志愿的美好社会,——,否,——,——,——,——,——,——,官网,是,是,海外交流访问
27,首都知识产权服务业协会,0,0,0,2015 年,——,白刚,——,——,北京市,社会团体,——,——,——,——,遵守宪法、法律、法规和国家政策，遵守社会道德风尚；加强行业自律，维护知识产权服务机构的合法权益；促进行业发展，提高知识产权服务机构的业务水平和服务质量,——,否,——,——,——,——,——,——,咨询,是,是,海外交流访问
28,佳信德润 (北京) 科技有限公司,0,1,0,2011 年,——,易昕,——,——,北京市昌平区,商业公司,——,——,——,——,——,——,否,——,——,——,——,——,——,咨询,是,否,海外交流访问
29,北京同心圆慈善基金会,0,1,0,2016 年 6 月 22 日,2023 年 2 月2,侯兵,郑莽、王雨情、刘莉等,——,北京市北京经济技术开发区,非公募基金会,——,——,——,——,专注于医疗救助和康复关怀，支持教育事业发展,理事会、监事会、秘书处,否,为需要的地区提供医疗救助等公益服务,前往叙利亚灾区救援,叙利亚,提供医疗、救灾,直接服务,否,官网,是,否,海外注册
30,安博致远国际文化发展 (北京) 有限公司,0,0,0,——,——,董启馨,——,——,——,商业公司,——,——,——,——,——,——,否,联合坦桑尼亚中国友好促进会等发起 “生命天使” 非洲助产士助理培训项目,“生命天使” 非洲助产士助理培训项目,非洲,职业培训,直接服务,否,新闻,是,是,海外项目
31,北京大鸾翔宇慈善基金会,1,1,0,2016 年,2016年,沈清,"王秋阳（北京大鸾翔宇文化传播有限公司）
沈   清（海南必成文化传媒有限公司）
周   戎（北京翔宇诚恩文化传播有限公司）
张文晓（中国慈善联合会）
贾小文（北京建机天润资产管理有限公司）",——,北京市东城区,慈善机构,——,——,——,——,怀慈善之恒心，献福祉于民众,理事会、监事会、秘书处下设 “恩来基金”“翔宇基金”“大鸾帮扶基金” 和 “薪火公益基金”,否,加强亚非拉国家及一带一路沿线国家民间文化、经贸交流，提供助学帮扶、合作支持活动,翔宇基金相关项目、中日友好交流项目、风铃行动,日本、蒙古、尼泊尔、非洲等国家,教育、文化交流,直接和间接服务,是,官网,是,是,海外交流访问
32,北京康行慈善基金会,1,1,0,2018 年 10 月 12 日,——,理事长董烁、副理事长王亚茹等,秘书长王博等,——,北京,慈善组织,——,——,——,——,以 “团结凝聚江山力量，发展改善社会结构” 为使命，构建 “康心无畏，行者无疆” 的美好愿景；以 “求是探索社会需求，至诚创造永续公益” 为宗旨,——,否,正在推进与联合国世界粮食计划署（中国办公室）探索合作开展中国农业创新项目等，在气候变化、粮食安全以及可持续发展教育方面作出积极贡献,——,——,——,——,否,新闻、官网,是,是,海外交流访问
33,合肥市庐阳区深蓝环境保护行动中心 - 绿满江淮,0,1,0,——,——,——,项目主管李莹莹,——,合肥,——,——,——,——,——,——,——,——,——,——,——,——,——,——,新闻、微信公众号,是,是,海外交流访问
34,重庆市可再生能源学会,1,1,0,2016 年,——,——,——,——,重庆,社会团体,——,——,——,——,遵守宪法、法律、法规和国家政策，开展政策研究、学术交流、技术推广、咨询服务、人才培养、科普等工作,——,否,——,——,——,——,——,——,新闻、百度百科,是,是,海外交流访问
35,重庆市低碳协会,0,1,0,2011 年,——,——,——,——,重庆,社会组织,——,——,——,——,服务涵盖政策解读、智库咨询、平台搭建、标准制定、技术转化、项目支持、绿色金融、招商引资、教育培训、品牌建设、公益科普等,——,否,作为 2024 第七届中国国际光伏与储能产业大会协办单位，为中国乃至全球光伏及储能产业企业搭建与政府、企业、社会间交流合作平台,中国国际光伏与储能产业大会协办单位,——,研讨会,间接服务,否,新闻、微信公众号,是,是,海外交流访问
36,甘肃省绿驼铃环境发展中心,1,1,0,2004 年 ,——,——,——,——,甘肃,民间环保组织,——,——,——,——,致力于西部环境保护事业，为改善已经恶化并仍在加重的西部生态环境做出应有贡献,——,否,——,——,——,——,——,——,抖音、新闻,是,是,海外交流访问
37,甘肃兴邦社会工作服务中心,0,1,0,2005 年,——,理事会领导下的秘书长负责制,社工何方、王兴保,——,甘肃,民办非企业单位,——,——,——,——,组织愿景：实现一个平等互助、文化多元的美好社会。组织使命：携手同道，公益兴邦,下设能力建设部、社区发展部、教育助学部、行政部、财务部五个部门,否,——,——,——,——,——,——,抖音、新闻,是,是,海外交流访问
38,甘肃省妇女儿童心理咨询协会,1,1,0,2017 年 ,——,——,——,——,甘肃省,社会团体,——,——,——,——,积极承接妇联系统服务妇女儿童心理健康工作，开展心理健康知识普及推广和婚姻家庭矛盾纠纷化解工作，引导妇女和家庭成员建立积极健康的良好心态,——,否,——,——,——,——,——,——,新闻、百度百科,是,是,海外交流访问
